date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:33	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Aug%202020%2016:04:38%20GMT	https://www.voiddevelopment.com/robots.txt		(from )
19:04:35	19092/19092	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Aug%202020%2016:04:41%20GMT	https://www.voiddevelopment.com/	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/index.html	(from )
19:04:39	10460/10460	---M--	200	added ('OK')	image/x-icon	date:Sat,%2022%20Aug%202020%2012:51:58%20GMT	https://www.voiddevelopment.com/images/vd.ico	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/images/vd.ico	(from https://www.voiddevelopment.com/)
19:04:39	127046/127046	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/css/bootstrap.css	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/css/bootstrap.css	(from https://www.voiddevelopment.com/)
19:04:39	84245/84245	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/js/jquery.min.js	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/js/jquery.min.js	(from https://www.voiddevelopment.com/)
19:04:39	25172/25172	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Aug%202020%2016:53:22%20GMT	https://www.voiddevelopment.com/css/style.css	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/css/style.css	(from https://www.voiddevelopment.com/)
19:04:39	68760/68760	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/css/animate.css	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/css/animate.css	(from https://www.voiddevelopment.com/)
19:04:39	4776/4776	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/js/wow.min.js	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/js/wow.min.js	(from https://www.voiddevelopment.com/)
19:04:40	1330/1330	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/js/move-top.js	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/js/move-top.js	(from https://www.voiddevelopment.com/)
19:04:40	4759/4759	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Aug%202020%2019:03:49%20GMT	https://www.voiddevelopment.com/js/easing.js	C:/My%20Web%20Sites/developet/www.voiddevelopment.com/js/easing.js	(from https://www.voiddevelopment.com/)
